,Message,Favourite_Count,Retweet_Count,Created_At,user_name,followers
28,"#Google #googlesearch #movie южнокорейская комедия 2001 года про боевые искусства.
В котором нет черных, но у Googl… https://t.co/3xhHsBXmGe",0,0,2019-08-26 08:06:13,Maksym Sapozhnyk,10
29,"RT @HanakovaEva: “Všechny ty chvíle zmizí v čase jako slzy v dešti...” 

Kultovní film a kultovni poslední scéna, která je považována za ne…",0,3,2019-08-26 08:05:24,Johnie Bass,11
30,RT @IamYanetGarcia: 🙏🏻 @Bellezonismo_  Disponible en Amazon @PrimeVideoMX 🙌🏻❤️🇲🇽🎬🍿🔥 #actress #movie #amazon #PrimeVideo https://t.co/jSFSnl…,0,14,2019-08-26 08:03:54,Rémi RICHAUD,258
31,"When you consider the destiny of the Skywalker family, you wonder what “rise” in Star Wars: The Rise of Skywalker m… https://t.co/eHtFcFa0Gh",1,1,2019-08-26 08:02:18,Geeks Against Trump,1
32,RT @Keithrommel: Death has come for Cailean and offers her a chance at redemption... but for a price. What would you be willing to do to pr…,0,135,2019-08-26 08:02:06,Gemma Lawrence,52682
33,"#LadyGaga è convinta di essere perseguitata da un fantasma: https://t.co/d9HTzXQuwk

#26agosto #diVedere… https://t.co/M5AqXo0b98",1,1,2019-08-26 08:01:30,TenaceMente,719
34,旅行も人生と同じように、８０％の満足でよい。　by 偶然の旅行者 #movie,0,0,2019-08-26 08:00:38,名ゼリフ,904
35,"Oh wow. OOOOH WOW. Who is excited to see #BlackWidow? 
.
.
.
.

#Instanews #Ootd #Instamusic #bollywood  #movies… https://t.co/3d6hEfrfEn",1,0,2019-08-26 08:00:11,Tentaran.com,1337
36,To the late legendary Robin William's #90sactorchallenge #legendary #RobinWilliams #movie #feature #instagram… https://t.co/4KAEM8pScA,0,0,2019-08-26 07:59:27,SplinterDaz,32
37,ジェニファー・ロペス＆オーウェン・ウィルソン、歌手と教師の恋を描く『Marry Me』にマルマが出演 #movie #映画 https://t.co/aa0BVy1GM7 https://t.co/jKaTLhFp2U,0,0,2019-08-26 07:59:11,キューティー映画 cuemovie,1460
38,"RT @neelikhan: ""@MarreseCrump: #Sultan #india #Movie # https://t.co/yLyYA6ssez"" @BeingSalmanKhan #SULTAN",0,62,2019-08-26 07:57:57,DABANGG3,291
39,【定期】「映画関連グッズ」を買え！映画業界に少しでも潤いを！ https://t.co/7Qr4g1HdYS #movie #eiga #映画 #邦画,0,0,2019-08-26 07:57:21,せき＠まさ,877
40,"Una tenue voce si sente nel #buio. Versi dell’idioma #elfico echeggiano, sommessi, troncando il #silenzio.… https://t.co/dst8usx4Mq",1,0,2019-08-26 07:57:09,Emilio Giordano,324
41,Time lapse of cloudy sky over #skyscrapers in downtown #Houston - #StockFootage https://t.co/LxYAZCKwuF via @pond5… https://t.co/uZ4IrW9VrF,0,0,2019-08-26 07:54:55,ShareefQamarShabazz,692
42,"Woran merkt man, das man zu viele Filme gesehen hat? Wen man drauf wartet das die Autos sich transformieren und es… https://t.co/eHrB1LLSXW",3,1,2019-08-26 07:53:11,Kei|Skull #P5 @Home,136
43,"RT @CDJapan: Pre-order started.

Code Geass: Lelouch of the Re;surrection [Limited Edition]
https://t.co/Nhz67JD4Qf

At this point, you can…",0,1,2019-08-26 07:52:56,Teilzeitotaku,284
44,"Pre-order started.

Code Geass: Lelouch of the Re;surrection [Limited Edition]
https://t.co/Nhz67JD4Qf

At this poi… https://t.co/zwKyL5s5d3",4,1,2019-08-26 07:52:35,CDJapan,27872
45,#LaLuna @Pixar #screenshot #animated #movie #PixarShortFilms https://t.co/UKskjlmVKR,0,0,2019-08-26 07:51:54,Animated Movie Scenes,9
46,The Angry Birds Movie 2 Movie Premiums Giveaway https://t.co/QfWC7m5QtG via @saysdotcom #AngryBirdsMovie2 #Movie… https://t.co/rby8N2MjMR,0,0,2019-08-26 07:51:41,PjlLghtHouse,407
47,"RT @mr_otsiman: Last weekend at the @goldenmawards
📸📸📸 @swagofafrica1
Thank you @chapterscouture for my outfit. 
#goldenmovieawards2019 #gm…",0,1,2019-08-26 07:51:07,GOLDEN MOVIE AWARDS AFRICA,1517
48,"RT @ayktsahin56: Subscribe to me please 😊 #youtube #pazartesi #subscribe #SubscribeNow
#youtuber #movie #movieclips #trailer #marvel #Aveng…",0,1,2019-08-26 07:50:13,The Avengers Zone,1358
49,#filme #amor #lindos #pseuteamo #movie #citação #frases 💕 https://t.co/gqSAipcAJl,0,0,2019-08-26 07:49:46,Morgana Grah,222
50,RT @DansTonCinema: 🎁 ! #Concours RT + FOLLOW pour gagner 2 exemplaires 4K + Bluray de #Avengers #EndGame [Fin le 01/09] ! 🎁 https://t.co/Dx…,0,534,2019-08-26 08:26:40,Mariline,446
51,RT @DansTonCinema: 🎁 ! #Concours RT + FOLLOW pour gagner 2 exemplaires 4K + Bluray de #Avengers #EndGame [Fin le 01/09] ! 🎁 https://t.co/Dx…,0,534,2019-08-26 08:26:07,Pizzuto Hélène,28
52,"RT @MintMovie: ภาพนิ่ง/เบื้องหลัง จาก #Avengers ทั้ง Infinity War และ Endgame ถ่ายภาพโดย Chuck Zlotnick 

: https://t.co/oh4G6ZPDXc https:/…",0,33,2019-08-26 08:25:38,-24/7:365.-,38
53,"RT @iisha_256: 守ってくれて、立ち向かってくれてありがとう！
#Avengers 
#AvengersEndgame https://t.co/QkB6a8vom0",0,967,2019-08-26 08:25:00,絵描きのロン,223
54,RT @DansTonCinema: 🎁 ! #Concours RT + FOLLOW pour gagner 2 exemplaires 4K + Bluray de #Avengers #EndGame [Fin le 01/09] ! 🎁 https://t.co/Dx…,0,534,2019-08-26 08:24:31,Tatili,32
55,RT @DansTonCinema: 🎁 ! #Concours RT + FOLLOW pour gagner 2 exemplaires 4K + Bluray de #Avengers #EndGame [Fin le 01/09] ! 🎁 https://t.co/Dx…,0,534,2019-08-26 08:23:57,rc cosmos,804
56,RT @DansTonCinema: 🎁 ! #Concours RT + FOLLOW pour gagner 2 exemplaires 4K + Bluray de #Avengers #EndGame [Fin le 01/09] ! 🎁 https://t.co/Dx…,0,534,2019-08-26 08:23:38,Gautaz,744
57,"RT @MintMovie: ภาพนิ่ง/เบื้องหลัง จาก #Avengers ทั้ง Infinity War และ Endgame ถ่ายภาพโดย Chuck Zlotnick 

: https://t.co/oh4G6ZPDXc https:/…",0,33,2019-08-26 08:23:31,คนอะไรพูดอยู่คนเดียว,405
58,"RT @techsocialnet: Marvel Phase 4 | techsocialnetwork | News 

https://t.co/2nJyB6snqv

Marvel Phase 4 movies: Here’s when Avengers Endgame…",0,2,2019-08-26 08:22:25,techsocialnetwork,5411
59,"RT @techsocialnet: Here’s everything we know so far about Marvel’s first Asian-led movie | techsocialnetwork 

https://t.co/opez0iLoXF

#ma…",0,2,2019-08-26 08:22:12,techsocialnetwork,5411
60,"RT @techsocialnet: Marvel's The Eternals movie: cast, story, news and more | techsocialnetwork 

https://t.co/r2ZoxZvzOb

#Marvel #Avengers…",0,2,2019-08-26 08:22:06,techsocialnetwork,5411
61,RT @MarvelMovieFan: LEGO MARVEL'S THE AVENGERS * XBOX ONE DIGITAL GAME DOWNLOAD * SAME DAY DELIVERY https://t.co/eqqKATcN6R #marvel #movies…,0,1,2019-08-26 08:21:10,The Avengers Zone,1358
62,RT @MarvelMovieFan: Movie Masterpiece The Avengers Infinity War 1/6 scale figure Black... from Japan https://t.co/LahTRiz1OH #marvel #movie…,0,1,2019-08-26 08:20:52,The Avengers Zone,1358
63,RT @Scarlett_Jo: Here we go!❤️#blackwidow #blackwidowmovie #avengers #avengersendgame #scarlettjohansson #davidharbour #mcu #D23Expo https:…,0,27,2019-08-26 08:20:32,Leo marvel,37
64,"RT @Rajib76450004: New #BlackWidow concept art poster by @andyparkart revealed at #D23Expo! #MarvelStudios .It will hit theaters on May 1,…",0,1,2019-08-26 08:20:26,ronnie cassol,3210
65,RT @MarvelMovieFan: HZYM Spiderman Far From Home Cosplay Mysterio Costume Men's Superhero Only Cape https://t.co/UFJNEZuBuW #marvel #movies…,0,1,2019-08-26 08:20:16,The Avengers Zone,1358
66,"RT @iisha_256: 守ってくれて、立ち向かってくれてありがとう！
#Avengers 
#AvengersEndgame https://t.co/QkB6a8vom0",0,967,2019-08-26 08:19:54,あやめ,15
67,"RT @Jonnymovgamer: I just entered @AlertBot's contest to win a Fire TV Stick 4K &amp; a copy of ""Avengers: Endgame"" and other cool Avengers pri…",0,2,2019-08-26 08:19:44,chris,221
68,I love Thor Ragnorak. IMO one of the better Infinity Saga movies and easily the best Thor movie in that saga… https://t.co/s2R6vfobBY,2,0,2019-08-26 08:19:37,Greenstien,677
69,"RT @MintMovie: ภาพนิ่ง/เบื้องหลัง จาก #Avengers ทั้ง Infinity War และ Endgame ถ่ายภาพโดย Chuck Zlotnick 

: https://t.co/oh4G6ZPDXc https:/…",0,33,2019-08-26 08:19:34,+SZA+,117
70,New #BlackWidow concept art poster by @andyparkart revealed at #D23Expo! #MarvelStudios .It will hit theaters on Ma… https://t.co/Fzd3BsEKzU,1,1,2019-08-26 08:19:34,Rajib,5
71,"RT @Jonnymovgamer: I just entered @AlertBot's contest to win a Fire TV Stick 4K &amp; a copy of ""Avengers: Endgame"" and other cool Avengers pri…",0,2,2019-08-26 08:19:30,The Avengers Zone,1358
72,"RT @Aster_th: #Loki  see a little bit of a difference ore maybe it’s the light and setting 
#AvengersEndgame 
#Avengers #d23 Expo 2019
 #Ma…",0,6,2019-08-26 08:19:27,うーも1102,252
73,RT @DansTonCinema: 🎁 ! #Concours RT + FOLLOW pour gagner 2 exemplaires 4K + Bluray de #Avengers #EndGame [Fin le 01/09] ! 🎁 https://t.co/Dx…,0,534,2019-08-26 08:19:01,serrescarole,488
74,"I just entered @AlertBot's contest to win a Fire TV Stick 4K &amp; a copy of ""Avengers: Endgame"" and other cool Avenger… https://t.co/Yebwvzpr3O",1,2,2019-08-26 08:18:58,Jonathan Glidden,1076
75,"คิดถึงตอนเค้าอยู่กันครบ 6 คนแล้วน้ำตาจะไหล 😭
#Avengers
#a6
https://t.co/B5OJ2VlYqn",0,0,2019-08-26 08:17:45,"Let​ me​ go, it's​ ok​ay​",21
76,HZYM Spiderman Far From Home Cosplay Mysterio Costume Men's Superhero Only Cape https://t.co/UFJNEZuBuW #marvel… https://t.co/tyPuRVZ4fZ,1,1,2019-08-26 08:16:34,Marvel Movie Fan Gear,173
77,Movie Masterpiece The Avengers Infinity War 1/6 scale figure Black... from Japan https://t.co/LahTRiz1OH #marvel #movies #avengers,1,1,2019-08-26 08:16:33,Marvel Movie Fan Gear,173
78,LEGO MARVEL'S THE AVENGERS * XBOX ONE DIGITAL GAME DOWNLOAD * SAME DAY DELIVERY https://t.co/eqqKATcN6R #marvel… https://t.co/704dSlhWKU,1,1,2019-08-26 08:16:33,Marvel Movie Fan Gear,173
79,RT @StriderPhantom: We are already 48 hours from GHOSTLY AVENGERS: ENDGAME being publish on Fanfiction and Wattpad. #DannyPhantom #DaniPhan…,0,2,2019-08-26 08:16:30,Danny Phantom Day,643
80,"RT @MintMovie: ภาพนิ่ง/เบื้องหลัง จาก #Avengers ทั้ง Infinity War และ Endgame ถ่ายภาพโดย Chuck Zlotnick 

: https://t.co/oh4G6ZPDXc https:/…",0,33,2019-08-26 08:15:24,เทปปุอุอิชิโนดุดิ,676
81,"RT @iisha_256: 守ってくれて、立ち向かってくれてありがとう！
#Avengers 
#AvengersEndgame https://t.co/QkB6a8vom0",0,967,2019-08-26 08:14:30,d,48
82,"RT @iisha_256: 守ってくれて、立ち向かってくれてありがとう！
#Avengers 
#AvengersEndgame https://t.co/QkB6a8vom0",0,967,2019-08-26 08:14:04,Sam,279
